year,region,area,age_group,sex,value,unit,source
2554,ทั่วประเทศ,นอกเขตเทศบาล,70-79 ปี,รวม,1766376,คน,สำนักงานสถิติแห่งชาติ
2554,กรุงเทพมหานคร,ในเขตเทศบาล,70-79 ปี,รวม,246042,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,70-79 ปี,รวม,626985,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,70-79 ปี,รวม,560782,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคตะวันออกเฉียงเหนือ,รวม,70-79 ปี,รวม,860411,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคใต้,รวม,70-79 ปี,รวม,348713,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รวม,80 ปีขึ้นไป,รวม,843176,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,ในเขตเทศบาล,80 ปีขึ้นไป,รวม,283046,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,นอกเขตเทศบาล,80 ปีขึ้นไป,รวม,560130,คน,สำนักงานสถิติแห่งชาติ
2554,กรุงเทพมหานคร,ในเขตเทศบาล,80 ปีขึ้นไป,รวม,81659,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,80 ปีขึ้นไป,รวม,205753,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,80 ปีขึ้นไป,รวม,178726,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคตะวันออกเฉียงเหนือ,รวม,80 ปีขึ้นไป,รวม,254147,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคใต้,รวม,80 ปีขึ้นไป,รวม,122891,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รวม,60-69 ปี,ชาย,2212709,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,ในเขตเทศบาล,60-69 ปี,ชาย,730502,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,นอกเขตเทศบาล,60-69 ปี,ชาย,1482207,คน,สำนักงานสถิติแห่งชาติ
2554,กรุงเทพมหานคร,ในเขตเทศบาล,60-69 ปี,ชาย,217974,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,60-69 ปี,ชาย,490445,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,60-69 ปี,ชาย,443642,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคตะวันออกเฉียงเหนือ,รวม,60-69 ปี,ชาย,796238,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคใต้,รวม,60-69 ปี,ชาย,264410,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รวม,70-79 ปี,ชาย,1120698,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,ในเขตเทศบาล,70-79 ปี,ชาย,363378,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,นอกเขตเทศบาล,70-79 ปี,ชาย,757320,คน,สำนักงานสถิติแห่งชาติ
2554,กรุงเทพมหานคร,ในเขตเทศบาล,70-79 ปี,ชาย,98650,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,70-79 ปี,ชาย,261645,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,70-79 ปี,ชาย,244598,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคตะวันออกเฉียงเหนือ,รวม,70-79 ปี,ชาย,366675,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคใต้,รวม,70-79 ปี,ชาย,149130,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รวม,80 ปีขึ้นไป,ชาย,308182,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,ในเขตเทศบาล,80 ปีขึ้นไป,ชาย,99623,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,นอกเขตเทศบาล,80 ปีขึ้นไป,ชาย,208559,คน,สำนักงานสถิติแห่งชาติ
2554,กรุงเทพมหานคร,ในเขตเทศบาล,80 ปีขึ้นไป,ชาย,26915,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,80 ปีขึ้นไป,ชาย,71971,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,80 ปีขึ้นไป,ชาย,68224,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคตะวันออกเฉียงเหนือ,รวม,80 ปีขึ้นไป,ชาย,95992,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคใต้,รวม,80 ปีขึ้นไป,ชาย,45080,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รวม,60-69 ปี,หญิง,2567486,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,ในเขตเทศบาล,60-69 ปี,หญิง,878321,คน,สำนักงานสถิติแห่งชาติ
